ProductID,ProductName,Category,Price
P000,Fall,home,179.77
P001,Table ,Clothing,274.88
P002,Available,Home,373.82
P003,Hit ,clothing,219.38
P004,Fear,Electronics,291.3
P005,Politics,Clothing,388.52
P006,Out,Home,356.79
P007,Prove,home,323.62
P008,Rich ,Electronics,128.88
P009,Degree Deluxe,Clothing,225.29
P010,Magazine ,home,27.68
P011,True ,clothing,50.9
P012,Tax,home,303.78
P013,Personal,clothing,197.99
P014,Skill Deluxe,Electronics,170.46
P015,Strategy ,home,381.47
P016,Federal,home,430.63
P017,Yard,Electronics,259.66
P018,Idea,electronics,313.69
P019,Operation,Electronics,141.85
P020,Response ,Electronics,183.48
P021,Bad ,Home,354.15
P022,Without Deluxe,electronics,464.58
P023,Beyond ,Home,387.03
P024,Its,Clothing,469.89
P025,Oil ,clothing,308.29
P026,Doctor ,Electronics,447.79
P027,Fast,clothing,229.71
P028,Center Deluxe,Electronics,74.5
P029,Produce Deluxe,clothing,441.08
P030,Factor,Electronics,158.77
P031,Group ,Clothing,319.04
P032,Commercial,Electronics,228.88
P033,Just,electronics,141.47
P034,However,Home,250.22
P035,Training ,Home,13.56
P036,Play ,electronics,335.68
P037,May,Clothing,483.47
P038,Reason ,Electronics,444.9
P039,We Deluxe,home,384.63
P040,Participant Deluxe,home,115.45
P041,City ,Home,483.02
P042,Speech ,Home,476.66
P043,Career Deluxe,home,421.65
P044,Hand,electronics,99.27
P045,At ,Home,32.13
P046,Million,Electronics,102.23
P047,Travel ,electronics,153.71
P048,Republican ,clothing,338.98
P049,Party Deluxe,clothing,342.13
P050,Man Deluxe,Electronics,34.71
P051,Natural,clothing,89.26
P052,Traditional,Clothing,171.75
P053,Important ,clothing,304.95
P054,Meet,home,252.08
P055,Particularly Deluxe,Electronics,230.4
P056,Analysis Deluxe,electronics,246.18
P057,Administration ,Electronics,345.68
P058,Condition Deluxe,Home,193.46
P059,Night Deluxe,clothing,221.12
P060,Which,home,121.62
P061,Off,Electronics,360.11
P062,Remember,Clothing,66.59
P063,Why ,Home,229.25
P064,Garden ,home,286.86
P065,Bag ,home,82.48
P066,Hear,Clothing,464.36
P067,Physical ,Clothing,441.15
P068,Idea ,clothing,40.38
P069,Another Deluxe,electronics,138.8
P070,Performance,electronics,174.91
P071,Wish ,home,313.57
P072,Week Deluxe,home,422.59
P073,Drive ,Clothing,360.58
P074,Politics ,home,221.79
P075,Step Deluxe,Electronics,361.65
P076,Edge Deluxe,Electronics,375.79
P077,Form,Clothing,382.29
P078,News ,electronics,407.08
P079,Process,home,455.49
P080,Area ,electronics,10.69
P081,Cell,clothing,170.81
P082,Walk ,home,75.92
P083,Service,Clothing,293.47
P084,Remember,home,372.65
P085,Your,electronics,30.57
P086,Out,clothing,153.44
P087,Speak,Home,171.91
P088,Network,Electronics,148.64
P089,Light Deluxe,clothing,168.4
P090,Prove Deluxe,home,425.07
P091,Town Deluxe,clothing,172.74
P092,Opportunity Deluxe,home,469.33
P093,Cup ,Electronics,366.66
P094,Seem ,home,395.98
P095,Civil ,home,228.2
P096,Arrive ,Clothing,416.12
P097,Deal Deluxe,home,187.12
P098,Pretty,home,441.39
P099,Material,home,109.47
